,Store_Name,Categories,Location,Zip_Code,Price,Rating,Review_Count,geometry,State,County,City,Name,RegionID,price_int,chain,strictly_coffee,coffee_is_cat,breakfast_and_brunch,bakeries,diner,deli,ice_cream_and_froyo,juice_and_smoothie,primary_category,Latitude,Longitude
0,Ébrìk Coffee Room,"['Coffee & Tea', 'Bakeries']","(33.755247750486298, -84.388165147831302)",30303.0,$,4.5,260,POINT (-84.3881651478313 33.7552477504863),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,0,1,0,0,0,0,bakeries,33.7552477504863,-84.3881651478313
1,Cafe Lucia,"['Coffee & Tea', 'Bagels', 'Juice Bars & Smoothies']","(33.755814000000001, -84.389904000000001)",30303.0,$,4.5,65,POINT (-84.389904 33.755814),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,0,0,0,0,0,1,juice_and_smoothie,33.755814,-84.389904
2,Condesa Coffee,"['Coffee & Tea', 'Breakfast & Brunch']","(33.7553100585938, -84.382820129394503)",30303.0,$,4.0,39,POINT (-84.3828201293945 33.7553100585938),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,1,0,0,0,0,0,breakfast_and_brunch,33.7553100585938,-84.3828201293945
3,Panbury's Pie Café,"['British', 'Coffee & Tea', 'Bakeries']","(33.760224600000001, -84.387175900000003)",30303.0,$,4.5,69,POINT (-84.3871759 33.7602246),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,0,1,0,0,0,0,bakeries,33.7602246,-84.3871759
4,THRIVE Farmers Coffee,['Coffee & Tea'],"(33.770229999999998, -84.388149999999996)",30308.0,$,4.0,2,POINT (-84.38815 33.77023),GA,Fulton,Atlanta,Downtown,269306,1,0,1,1,0,0,0,0,0,0,strictly_coffee,33.77023,-84.38815
5,Caribou Coffee,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Sandwiches']","(33.760227200000003, -84.386841000000004)",30303.0,$,4.0,17,POINT (-84.386841 33.7602272),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,0,0,0,0,0,1,chain,33.7602272,-84.386841
6,Atlanta Breakfast Club,"['Breakfast & Brunch', 'American (Traditional)', 'Coffee & Tea']","(33.764665100000002, -84.395450299999993)",30313.0,$$,4.5,1229,POINT (-84.39545029999999 33.7646651),GA,Fulton,Atlanta,Downtown,269306,2,0,0,1,1,0,0,0,0,0,breakfast_and_brunch,33.7646651,-84.3954503
7,Just Add Honey Tea Company,"['Coffee & Tea', 'Tea Rooms']","(33.75403, -84.3798599)",30303.0,$$,4.5,44,POINT (-84.3798599 33.75403),GA,Fulton,Atlanta,Downtown,269306,2,0,0,1,0,0,0,0,0,0,other,33.75403,-84.3798599
8,Buenos Dias Cafe,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Cafes']","(33.753830824723799, -84.388628465733802)",30303.0,$,4.5,112,POINT (-84.3886284657338 33.7538308247238),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,0,0,0,0,0,1,juice_and_smoothie,33.7538308247238,-84.3886284657338
9,Jittery Joe's,['Coffee & Tea'],"(33.75864, -84.387159999999994)",30303.0,$$,3.5,6,POINT (-84.38715999999999 33.75864),GA,Fulton,Atlanta,Downtown,269306,2,0,1,1,0,0,0,0,0,0,strictly_coffee,33.75864,-84.38716
10,Morsels,['Coffee & Tea'],"(33.758768036968497, -84.395073652267499)",30303.0,$,3.5,4,POINT (-84.3950736522675 33.7587680369685),GA,Fulton,Atlanta,Downtown,269306,1,0,1,1,0,0,0,0,0,0,strictly_coffee,33.7587680369685,-84.3950736522675
11,Starbucks,['Coffee & Tea'],"(33.758129119872997, -84.394340515136705)",30303.0,$,3.0,22,POINT (-84.3943405151367 33.758129119873),GA,Fulton,Atlanta,Downtown,269306,1,1,1,1,0,0,0,0,0,0,chain,33.758129119873,-84.3943405151367
12,Caribou Coffee,"['Coffee & Tea', 'Breakfast & Brunch']","(33.762859300000002, -84.386520399999995)",30308.0,$,3.0,15,POINT (-84.38652039999999 33.7628593),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,1,0,0,0,0,0,chain,33.7628593,-84.3865204
13,Erica's Sidewalk Cafe,"['Cafes', 'Southern', 'Food Stands']","(33.762410000000003, -84.383080000000007)",30308.0,$$,4.5,64,POINT (-84.38308000000001 33.76241),GA,Fulton,Atlanta,Downtown,269306,2,0,0,1,0,0,0,0,0,0,other,33.76241,-84.38308
14,Aviva by Kameel,"['Mediterranean', 'Juice Bars & Smoothies', 'Middle Eastern']","(33.760538145529203, -84.386555464804104)",30303.0,$$,5.0,1013,POINT (-84.3865554648041 33.7605381455292),GA,Fulton,Atlanta,Downtown,269306,2,0,0,0,0,0,0,0,0,1,juice_and_smoothie,33.7605381455292,-84.3865554648041
15,Dunkin' Donuts,"['Coffee & Tea', 'Donuts']","(33.757423400878899, -84.388900756835895)",30303.0,$,4.0,28,POINT (-84.38890075683589 33.7574234008789),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,0,0,0,0,0,0,chain,33.7574234008789,-84.3889007568359
16,The Food Shoppe,"['Cajun/Creole', 'Breakfast & Brunch', 'Seafood']","(33.758311999999997, -84.390376000000003)",30303.0,$,4.5,448,POINT (-84.390376 33.758312),GA,Fulton,Atlanta,Downtown,269306,1,0,0,0,1,0,0,0,0,0,breakfast_and_brunch,33.758312,-84.390376
17,Ellis St Cafe & Market,"['Delis', 'Breakfast & Brunch', 'Sandwiches']","(33.758246077489801, -84.382868372756704)",30303.0,$,5.0,14,POINT (-84.3828683727567 33.7582460774898),GA,Fulton,Atlanta,Downtown,269306,1,0,0,0,1,0,0,1,0,0,deli,33.7582460774898,-84.3828683727567
18,Sweet Auburn Bakery,"['Bakeries', 'Coffee & Tea']","(33.75403, -84.379859999999994)",30303.0,$,4.0,63,POINT (-84.37985999999999 33.75403),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,0,1,0,0,0,0,bakeries,33.75403,-84.37986
19,Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.760810999999997, -84.395356000000007)",30303.0,$,3.0,11,POINT (-84.39535600000001 33.760811),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,0,0,0,0,0,0,chain,33.760811,-84.395356
20,Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.762639932497102, -84.385578920077094)",30308.0,$,3.5,13,POINT (-84.38557892007709 33.7626399324971),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,0,0,0,0,0,0,chain,33.7626399324971,-84.3855789200771
21,Saxbys Coffee,"['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']","(33.752868360338702, -84.386364236533893)",30303.0,$,2.5,36,POINT (-84.38636423653389 33.7528683603387),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,1,0,0,0,0,0,breakfast_and_brunch,33.7528683603387,-84.3863642365339
22,Cafe Apple,['Cafes'],"(33.764478400000002, -84.388479000000004)",30308.0,$,3.0,8,POINT (-84.388479 33.7644784),GA,Fulton,Atlanta,Downtown,269306,1,0,1,1,0,0,0,0,0,0,strictly_coffee,33.7644784,-84.388479
23,Starbucks,['Coffee & Tea'],"(33.760778545724698, -84.387378557289793)",30303.0,$,2.5,34,POINT (-84.38737855728979 33.7607785457247),GA,Fulton,Atlanta,Downtown,269306,1,1,1,1,0,0,0,0,0,0,chain,33.7607785457247,-84.3873785572898
24,Corner Bakery Cafe,"['Bakeries', 'Sandwiches']","(33.761733, -84.387832000000003)",30303.0,$,3.5,135,POINT (-84.387832 33.761733),GA,Fulton,Atlanta,Downtown,269306,1,0,0,0,0,1,0,0,0,0,bakeries,33.761733,-84.387832
25,Flats Handcrafted Flatbreads,"['Juice Bars & Smoothies', 'Pizza', 'American (New)']","(33.758180000000003, -84.392910000000001)",30303.0,$,4.0,108,POINT (-84.39291 33.75818),GA,Fulton,Atlanta,Downtown,269306,1,0,0,0,0,0,0,0,0,1,juice_and_smoothie,33.75818,-84.39291
26,Starbucks,['Coffee & Tea'],"(33.7577476096384, -84.394721722872902)",30313.0,$$,2.0,12,POINT (-84.3947217228729 33.7577476096384),GA,Fulton,Atlanta,Downtown,269306,2,1,1,1,0,0,0,0,0,0,chain,33.7577476096384,-84.3947217228729
27,Starbucks Coffee,['Coffee & Tea'],"(33.7543546879904, -84.386728398623305)",30303.0,$$,3.0,4,POINT (-84.3867283986233 33.7543546879904),GA,Fulton,Atlanta,Downtown,269306,2,0,1,1,0,0,0,0,0,0,strictly_coffee,33.7543546879904,-84.3867283986233
28,Park View Cafe,"['American (Traditional)', 'Buffets', 'Cafes']","(33.761363815234901, -84.391718958006294)",30303.0,$,3.5,9,POINT (-84.39171895800629 33.7613638152349),GA,Fulton,Atlanta,Downtown,269306,1,0,0,1,0,0,0,0,0,0,other,33.7613638152349,-84.3917189580063
29,Starbucks,['Coffee & Tea'],"(33.759419999999999, -84.388369999999995)",30303.0,$,3.5,20,POINT (-84.38836999999999 33.75942),GA,Fulton,Atlanta,Downtown,269306,1,1,1,1,0,0,0,0,0,0,chain,33.75942,-84.38837
30,Southern Roots Cafe,['Coffee & Tea'],"(33.758063490233901, -84.398118903766004)",30313.0,$$,3.0,5,POINT (-84.398118903766 33.7580634902339),GA,Fulton,Atlanta,Downtown,269306,2,0,1,1,0,0,0,0,0,0,strictly_coffee,33.7580634902339,-84.398118903766
31,Buena Gente Cuban Bakery,"['Food Trucks', 'Cuban', 'Bakeries']","(33.74832, -84.391109999999998)",,$,4.5,15,POINT (-84.39111 33.74832),GA,Fulton,Atlanta,Downtown,269306,1,0,0,0,0,1,0,0,0,0,bakeries,33.74832,-84.39111
32,Starbucks,['Coffee & Tea'],"(33.756810000000002, -84.388540000000006)",30303.0,$$,2.5,47,POINT (-84.38854000000001 33.75681),GA,Fulton,Atlanta,Downtown,269306,2,1,1,1,0,0,0,0,0,0,chain,33.75681,-84.38854
33,Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.770658963126301, -84.389324337244005)",30308.0,$,3.0,11,POINT (-84.38932433724401 33.7706589631263),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,0,0,0,0,0,0,chain,33.7706589631263,-84.389324337244
34,Arden's Garden,['Juice Bars & Smoothies'],"(33.7553100585938, -84.382820129394503)",30303.0,$,4.5,12,POINT (-84.3828201293945 33.7553100585938),GA,Fulton,Atlanta,Downtown,269306,1,1,0,0,0,0,0,0,0,1,chain,33.7553100585938,-84.3828201293945
35,The Coffee Bean & Tea Leaf,['Coffee & Tea'],"(33.7483100891113, -84.39111328125)",30320.0,$,3.0,2,POINT (-84.39111328125 33.7483100891113),GA,Fulton,Atlanta,Downtown,269306,1,0,1,1,0,0,0,0,0,0,strictly_coffee,33.7483100891113,-84.39111328125
36,Highland Bakery,"['Cafes', 'Breakfast & Brunch', 'Bakeries']","(33.7626762390137, -84.397506713867202)",30313.0,$,3.0,14,POINT (-84.3975067138672 33.7626762390137),GA,Fulton,Atlanta,Downtown,269306,1,1,0,1,1,1,0,0,0,0,chain,33.7626762390137,-84.3975067138672
